Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_COLLECTION_COLLECTS_PERSONAL_DATA,,TRUE,REQUIRED,Shromažďuje nebo sdílí vaše aplikace některé z požadovaných typů dat?
PSL_DATA_COLLECTION_ENCRYPTED_IN_TRANSIT,,TRUE,MAYBE_REQUIRED,Jsou všechna data shromažďovaná vaší aplikací při přenosu šifrována?
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD,TRUE,MULTIPLE_CHOICE,Kterou z následujících metod vytvoření účtu vaše aplikace podporuje? Vyberte všechny platné možnosti / Uživatelské jméno a heslo
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_OTHER_AUTH,,MULTIPLE_CHOICE,Kterou z následujících metod vytvoření účtu vaše aplikace podporuje? Vyberte všechny platné možnosti / Uživatelské jméno a další ověření
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD_OTHER_AUTH,,MULTIPLE_CHOICE,"Kterou z následujících metod vytvoření účtu vaše aplikace podporuje? Vyberte všechny platné možnosti / Uživatelské jméno, heslo a další ověření"
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OAUTH,TRUE,MULTIPLE_CHOICE,Kterou z následujících metod vytvoření účtu vaše aplikace podporuje? Vyberte všechny platné možnosti / OAuth
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OTHER,,MULTIPLE_CHOICE,Kterou z následujících metod vytvoření účtu vaše aplikace podporuje? Vyberte všechny platné možnosti / Jiné
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_NONE,,MULTIPLE_CHOICE,Kterou z následujících metod vytvoření účtu vaše aplikace podporuje? Vyberte všechny platné možnosti / Aplikace uživatelům vytvoření účtu neumožňuje
PSL_ACM_SPECIFY,,,MAYBE_REQUIRED,"Popište způsob vytváření účtů, který vaše aplikace podporuje"
PSL_ACCOUNT_DELETION_URL,,https://www.codewhiskers.app/smazani-uctu,MAYBE_REQUIRED,"Přidejte odkaz, pomocí kterého mohou uživatelé požádat o smazání svého účtu a přidružených dat "
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_YES,TRUE,SINGLE_CHOICE,Umožňujete uživatelům požádat o vymazání údajů o nich? / Ano
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_NO,,SINGLE_CHOICE,Umožňujete uživatelům požádat o vymazání údajů o nich? / Ne
